,Sweden_F_1910_homo,Denmark_M_1900_homo,Denmark_M_1890_homo,mice_F,mice_M,yeast,celegans,ecoli,cats_BPH,drosophila_853,drosophila_707,drosophila_441,drosophila_217,Sweden_M_1910_hetro,Sweden_F_1910_hetro,Denmark_M_1900_hetro,Denmark_M_1890_hetro,Denmark_F_1900_hetro,Denmark_F_1890_hetro,Staffy_vetCompass,Labradors_vetCompass,Jack_Russell_vetCompass,German_Shepherd_vetCompass,Guiniea_pig_VC,cats_vp_M,cats_vp_F,combined_human_F,combined_human_M,drosophila_M22_25deg,Wdah_chronic2,Wdah_chronic,Wdah_control,drosophila_136,drosophila_195,drosophila_105
data_MedianLifetime,29017.5,25185,24455,886,770,3.25,18.3,2.84,4380,47,22,50,31,26462.5,29017.5,25185,24455,27192.5,25550,4402.98,4487.88,4943.61,3915.32,1468.99,4577.1,5201.25,29017.5,26462.5,21,79,83,74,49,32,52
data_MaxLifetime,40150,37777.5,39602.5,1456,1338,7.88,30.46,5.74,6205,66,47,82,53,39237.5,40150,37777.5,39602.5,38872.5,39602.5,7253.03,7065.12,7788.62,6935.21,3649.5,9672.5,9161.5,40150,39237.5,49,100.5,104,99.25,69,53,79
ML_lnprob,-385019.4184,-356549.7793,-332119.0108,-23782.52043,-18452.72035,-90121.12894,-17158.07183,-49914.22568,-60558.09143,-4032.985623,-3412.844187,-3836.29993,-2812.106954,-377729.8499,-384645.752,-356253.4389,-331778.0912,-370794.7648,-346955.2377,-17573.37663,-20998.55884,-12669.05477,-8450.484467,-4923.74078,-21910.35507,-20437.24889,,,-5330.205357,-1517.127991,-1341.9137,-1902.519687,-3597.485339,-1908.181287,-3203.056731
ExtH,6.93,8.208,7.634,,,,,,4.017,,,,,7.015,7.206,7.729,7.987,7.833,7.479,5.434,6.161,5.577,4.906,,4.614,4.622,,,,,,,,,
eta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epsilon_xc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta/xc,,,,1.93E-05,6.11E-06,0.122,0.0102,23.056,1.22E-06,0.126,0.00378,0.00245,0.00171,3.09E-07,2.78E-06,7.22E-07,1.78E-06,1.34E-06,1.17E-06,3.78E-06,6.75E-06,4.85E-05,8.91E-07,2.83E-06,1.76E-06,3.70E-06,1.17E-06,1.78E-06,0.00235,0.012,0.0131,0.00225,0.00301,0.0017,0.00105
beta/xc,,,,0.0151,0.00266,0.0304,0.0653,179.332,0.0114,12.807,0.0225,0.067,0.0012,0.011,0.118,0.0268,0.0747,0.0539,0.0483,0.0265,0.0455,1.608,0.00333,0.00717,0.0188,0.0436,0.0483,0.0747,0.000779,1.068,1.178,0.124,0.0858,0.00107,0.0212
epsilon/xc^2,,,,0.00127,0.000527,0.0643,0.00511,11.644,0.00111,0.658,0.0104,0.00485,0.0022,0.000464,0.0029,0.00124,0.00248,0.00206,0.00198,0.00221,0.00292,0.0239,0.000325,0.00129,0.00199,0.00307,0.00198,0.00248,0.00739,0.0635,0.0564,0.00844,0.00532,0.00186,0.00441
k/xc,,,,0.00526,0.000772,8.19E-05,0.0113,0.113,0.0764,0.136,0.000307,0.000714,2.06E-05,0.0366,0.079,0.0165,0.0812,0.0313,0.0379,0.017,0.0352,1.128,0.00167,0.003,0.027,0.0979,0.0379,0.0812,0.000119,0.0143,0.0133,0.00143,0.00111,4.31E-05,0.000283
